gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality
1	A1CF	5.32359321168815	1	0.000128	3	0	2e-06	0	0	5.3e-05	0	1398.457612
2	A2M	4.28212326145209	11	0.001404	8.727273	14433.731412	2.2e-05	0	0	0.000248	34505.86347	1768.225397
3	AAAS	4.31708561949726	5	0.000638	22	129.619545	0.000119	0.6	6	6.6e-05	339.416829	1753.650794
4	AAGAB	4.57279571264514	1	0.000128	21	0	8e-06	0	0	3.2e-05	0	1646.455195
5	AAK1	3.82072221513334	16	0.002042	25.1875	891.380846	0.00082	0.475	57	0.000201	1843.691334	1999.061508
6	AAMP	4.7385479137425	1	0.000128	15	0	6.2e-05	0	0	3.1e-05	0	1582.921898
7	AAR2	5.01811917825699	1	0.000128	6	0	3e-06	0	0	3.6e-05	0	1487.981385
8	AARS	4.63047084343499	1	0.000128	8	0	6.6e-05	0	0	3.2e-05	0	1622.466703
9	AASDHPPT	4.93900727319127	1	0.000128	25	0	2e-06	0	0	4.2e-05	0	1514.852417
10	AASS	3.79405384713538	2	0.000255	96.5	958.502967	0.00044	0	0	4.4e-05	1498.143168	2010.115079
11	AATF	3.79367104759474	10	0.001276	24.5	7989.889307	0.000534	0.022222	1	0.000144	17878.588188	2017.438095
12	AATK	5.58785249457701	1	0.000128	5	0	0	0	0	4.9e-05	0	1327.516342
13	ABAT	4.14648462421845	2	0.000255	42	7537	6.6e-05	0	0	7.8e-05	15074	1826.136147
14	ABCA1	3.84254178894985	6	0.000766	20.666667	11222.016428	0.000105	0	0	0.000129	24068.316428	1975.750794
15	ABCA2	6.58198290162052	2	0.000255	1.5	7537	0	0	0	0.000132	15074	1122.413575
16	ABCA6	4.94870486155417	1	0.000128	27	0	1e-06	0	0	4.1e-05	0	1514.269877
17	ABCB6	7.54370294755646	1	0.000128	2	0	0	0	0	7.4e-05	0	974.881094
18	ABCB7	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
19	ABCB8	4.59678448385862	2	0.000255	14	1077.147579	6e-06	0	0	5.8e-05	2900.132136	1637.461111
20	ABCC2	4.48411381906342	2	0.000255	18	713.735685	5e-06	0	0	5.2e-05	1689.044354	1675.348052
21	ABCC6	4.28212326145209	1	0.000128	62	0	0.000222	0	0	3.3e-05	0	1762.441667
22	ABCC9	5.06660712007146	3	0.000383	6.666667	2668.31881	1e-06	0.333333	1	9.3e-05	6288.135596	1477.578644
23	ABCD2	6.20441495470205	1	0.000128	11	0	0	0	0	5.7e-05	0	1194.724614
24	ABCD3	4.28646165624601	8	0.001021	9.375	80640.854701	2.6e-05	0	0	0.000183	163069.983869	1768.864322
25	ABCD4	5.62051805537833	2	0.000255	2	15072	0	0	0	0.00011	30144	1322.895743
26	ABCF3	6.02947556462932	2	0.000255	2	30136	0	0	0	0.000106	60272	1230.003186
27	ABCG1	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
28	ABCG4	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
29	ABCG5	4.10616307260431	2	0.000255	57.5	7537	3.8e-05	0	0	7.6e-05	15074	1847.488492
30	ABCG8	5.06788311854026	1	0.000128	2	0	1e-06	0	0	5.1e-05	0	1472.405628
31	ABHD16A	4.60967206839352	3	0.000383	5.666667	262.817515	2.1e-05	0	0	6.5e-05	787.353847	1627.382576
32	ABI1	3.75768789077453	13	0.001659	20.230769	14882.583107	0.000471	0.038462	3	0.000216	31614.239725	2035.794841
33	ABI2	3.88579813704224	8	0.001021	22.25	5907.790544	0.000405	0.035714	1	0.000124	14424.220084	1961.005556
34	ABI3	3.99425800689039	8	0.001021	14.125	18186.506437	0.001327	0.035714	1	0.000165	37844.241311	1901.132143
35	ABI3BP	4.95597805282634	1	0.000128	8	0	2.6e-05	0	0	3.7e-05	0	1505.905628
36	ABL1	3.01518438177874	130	0.01659	21.130769	918472.2623	0.004884	0.019559	164	0.002143	1769915.541631	2633.86627
37	ABL2	3.74709710348348	8	0.001021	43	3985.501175	0.000294	0.178571	5	0.000136	9966.31167	2042.838889
38	ABLIM1	4.51142018629578	3	0.000383	11.666667	1294.123747	1.2e-05	0	0	7.5e-05	3637.248943	1669.181818
39	ABR	3.91603930075284	2	0.000255	71.5	2054.892159	9.5e-05	0	0	4.6e-05	3695.566928	1942.006746
40	ABRAXAS2	4.38841393390328	1	0.000128	39	0	2.4e-05	0	0	3.3e-05	0	1716.504004
41	ABT1	4.33265280081664	1	0.000128	70	0	4.8e-05	0	0	2.9e-05	0	1748.280195
42	ABTB1	4.23172132193441	1	0.000128	57	0	0.000131	0	0	3.1e-05	0	1786.865909
43	ACACA	4.04465994640806	1	0.000128	96	0	7.1e-05	0	0	2.9e-05	0	1876.998413
44	ACACB	5.74964910042108	1	0.000128	5	0	0	0	0	4.3e-05	0	1291.203283
45	ACAD9	5.11101186678576	3	0.000383	20.666667	7537	3e-06	0.333333	1	6.3e-05	15074	1464.72904
46	ACADM	4.53209136149037	2	0.000255	12	50.916824	9e-05	0	0	5.3e-05	185.974417	1662.785354
47	ACAN	4.57789970652035	14	0.001787	8.357143	32991.706863	4e-06	0.054945	5	0.000327	68404.165918	1657.935354
48	ACAP1	3.97537322955212	2	0.000255	66	2201.918298	9.5e-05	0	0	5.7e-05	5102.0018	1913.382143
49	ACAP3	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
50	ACAT2	3.90914890902131	4	0.00051	42.75	1334.228435	0.00014	0	0	6.8e-05	2933.080078	1949.95
51	ACBD3	5.5248181702182	1	0.000128	3	0	0	0	0	4.6e-05	0	1344.782612
52	ACD	4.86104376674748	1	0.000128	13	0	4.3e-05	0	0	3.5e-05	0	1541.062734
53	ACE	5.54982774020671	1	0.000128	4	0	0	0	0	4.3e-05	0	1335.491775
54	ACHE	4.35676917187699	1	0.000128	46	0	2.7e-05	0	0	3.6e-05	0	1728.683369
