zi	pc	gc
C1QC	0	0.625	0.625381628815095
HLA-DRA	1.40329283089125	0.65625	0.656615192430606
CD2	0.36139781424547	0.515555555555556	0.515613537824054
CD3E	0.15938049673185	0.429752066115702	0.429784460207378
C1QB	1.41421356237309	0.375	0.375152533660205
COL4A2	1.92367378558147	0.622222222222222	0.622537537987061
ITK	0.967449766786327	0.277008310249307	0.27725094228216
COL1A2	1.75395772359198	0.578125	0.578430072932118
ITGB2	0.765432449272708	0.699588477366255	0.699622871816929
CD5	0.563415131759089	0.3984375	0.398565894377147
DOCK2	-0.244654138295388	0	1.73906136134994e-05
KIF2C	1.54697415274883	0.251428571428571	0.252077422870486
TRAT1	-0.0426368207817688	0	7.95765455640085e-05
CSF2RB	0.866441108029518	0.207612456747405	0.207875271389612
BUB1	2.56138343323986	0.198279764599366	0.199269689579936
CD247	1.7755190368408	0.0768	0.0772372941474632
SIT1	-0.143645479538578	0.277777777777778	0.27783335254764
RAC2	0.15938049673185	0.556213017751479	0.556220649151822
COL14A1	-0.755441030405786	0.5	0.500017804114653
JCHAIN	-0.447213595499958	0.5	0.500078980909605
MRPL13	0.938553995452009	0	0.000446378454148633
PIK3CD	0.866441108029518	0.1171875	0.117509861558829
CD6	0	0.666666666666667	0.670835661478127
SPC25	1.1243036192109	0	0.000528088113690095
TF	1.12272178284768	0.716049382716049	0.716550872699332
CCNB2	-0.0465887845629385	0.53125	0.53126590480014
C1R	0	0.72	0.720721522160348
SKA1	1.80057647287159	0.0570934256055363	0.0578055396551782
CD3G	-0.760085033165317	0.444444444444444	0.444823227245881
LST1	0	0.5	0.501657811335578
ABCG8	0	0	0.000181582563485327
CD8B	-0.217167152332948	0.5	0.500249658503087
CD8A	0.325750728499422	0.652777777777778	0.653938051361539
CD180	0	0	0
RPL18	0.904050016050623	0.245614035087719	0.246189884057888
VAV1	2.88661428316571	0.352272727272727	0.353129842489393
CENPA	1.46244004604124	0.510330578512397	0.510702904958761
CENPM	0.532564872257794	0	0.000205118449322916
PRKCB	2.15678667359016	0.590401051939514	0.590450474756701
NUF2	1.80057647287159	0.109387755102041	0.11027226008716
KIF11	-0.291408279913282	0	2.32185889957881e-05
CDC20	2.39231521982469	0.605714285714286	0.60678603741441
IGHM	1.78885438199983	0.781065088757396	0.78141242902814
PTPRC	1.7755190368408	0.416015625	0.416352878285042
IL2RB	0.866441108029518	0.277777777777778	0.278006073886954
PRKCQ	0.0758209631122334	0.561224489795918	0.561342241560846
GPR65	0.200745602422518	0	0.000262839141978666
SLAMF6	-0.446671455809007	0.444444444444444	0.444466269476926
CDCA5	1.46244004604124	1.11022302462516e-16	0.000597335239098773
MYL9	0.645313509580636	0.493827160493827	0.494012882493788
DCN	2.03277980736951	0.603174603174603	0.603397400963601
UBE2C	1.17750869218878	0.538194444444444	0.538286843364491
PTTG1	-0.291408279913282	0.56	0.56000377117256
BTK	1.97753635435442	0.560380725758477	0.560693184131326
KIF18A	1.46244004604124	0.169921875	0.170615260007255
SYK	5.20981343457233	0.398891966759003	0.400912801741435
SH2D1A	1.73807535030704	0.578512396694215	0.584183696256374
MCM10	0.701432634531654	0.548469387755102	0.548610119248512
LUM	0	0.625	0.625658967964046
SPARC	0.917491472259393	0.625	0.625111621378022
CDK1	7.66522531897289	0.604009414820226	0.604570193185393
NEK2	-0.566378514940828	0.569444444444444	0.569624158375962
EXO1	1.60416398370701	1.11022302462516e-16	0.00060195613146552
ITGAX	-0.345662797052198	0.666666666666667	0.666698252408853
KDR	1.16946708429995	0.515775034293553	0.51609461859389
CENPI	1.716042366164	0.16	0.160650442340614
HCLS1	0.0583718379750408	0.63905325443787	0.639073809966966
RPL31	0.904050016050623	0.266944114149822	0.267496347948775
RPS3	1.77882052338469	0.321525148729043	0.322706687976592
PLG	2.37700537404731	0.739644970414201	0.73976766128074
CD93	0.359847304704333	0.677685950413223	0.677723180876112
EMC4	0.901491301768453	1.11022302462516e-16	0.000476240271382822
CCR5	0.563415131759089	0.74931129476584	0.749802566675988
CENPE	1.716042366164	0.156734693877551	0.157519109097451
PTPN22	0.0583718379750408	1.11022302462516e-16	6.16084317263121e-05
PLAU	2.09044939021947	0.55363321799308	0.553922107203385
ASGR2	0	0.444444444444444	0.444639981396541
CEP55	-0.291408279913282	0.375	0.375009629149186
CD74	0.526234811584218	0.8	0.800212046665909
KIF23	-0.0465887845629385	0.5625	0.562510774985818
RPS14	1.42891232045107	0.433673469387755	0.434491447037897
NID2	0.274810540797352	0.32	0.320114722005733
CD48	-0.413818027588454	0.765432098765432	0.765449088892174
DOK3	-0.0426368207817688	0	0.000151952587181814
SH2D2A	-0.143645479538578	0	8.30511736711337e-05
PRELP	-0.549621081594705	0.444444444444444	0.444469020358911
MRPS15	1.29051174374651	0	0.000554921479777648
RPS5	1.77882052338469	0.188564682071176	0.189646226429224
RPL8	0.86031149068392	0.205761316872428	0.206271034465071
HCK	2.88661428316571	0.351239669421488	0.351615858328528
TPX2	-0.16899853223811	0.66	0.660033827320338
LCP2	1.97753635435442	0.192627824019025	0.193419557128077
PSMB7	1.07403858346846	0	0.000878131436071072
ERCC6L	1.03976951250331	0	0.000597657770198712
NFAM1	-0.446671455809007	0	7.67228128739639e-06
CXCR2	1.81497042594606	0.603550295857988	0.604663236164164
JAK3	1.87652769559761	0.191326530612245	0.191771569045265
CDKN3	-0.0465887845629385	0.448979591836735	0.448989982582102
SKA3	-0.735446728356001	0	3.22321429402361e-06
AURKB	2.39231521982469	0.3392	0.339972918513765
MS4A1	-0.345662797052198	0	3.96792043787508e-05
CDCA8	1.46244004604124	1.11022302462516e-16	0.00065920242130002
COL6A3	-0.549621081594705	0.444444444444444	0.44445715901348
CCL5	0.359847304704333	0.743801652892562	0.743815901299552
MCM3	1.00234308425677	0.466666666666667	0.466858563256085
CDC25A	0.565459953812921	0.165289256198347	0.165403309335128
TOP2A	0.0758209631122334	0.625	0.625027437430969
CDC25C	-0.16899853223811	0.777777777777778	0.777791801690338
XRCC2	-0.502209164368818	0	1.45428118595303e-05
CHEK1	1.10264656749848	0.462890625	0.463142211599593
SLA	0.15938049673185	0.513888888888889	0.513921846184232
PSMD3	0.997106044484057	0.22375	0.224372613515735
PTPRB	-0.476618946628256	0.64	0.64001010161498
PBK	-0.303063536789529	0.64	0.64021541943624
FLI1	-0.0465887845629385	0.277777777777778	0.277788175952506
RPS16	1.73508199801799	0.287031528851874	0.288021010575347
FOXM1	-0.291408279913282	0.375	0.375008139382537
SLA2	-0.345662797052198	0	1.31634403792713e-05
PLK1	2.39231521982469	0.680398370303305	0.682684587722443
CDC45	1.10264656749848	0.269230769230769	0.269529812113566
RRM2	-0.413818027588454	0	5.219676657231e-06
RACGAP1	0.932689196838437	0.328125	0.328218865057612
PRF1	-0.0426368207817688	0.568047337278107	0.568072283834947
FYB1	0.0583718379750408	0.48	0.480044779177572
PSMB6	0.997106044484057	0.149584487534626	0.150257211493868
PSMA5	1.15097112245285	0.0512465373961218	0.052107172486979
EME1	0.394395788376396	0.277777777777778	0.277926529764204
TIE1	-0.755441030405786	0	2.37624750243359e-06
S100A9	-0.0465887845629385	0.5625	0.562519120542717
MMP2	2.59042397492457	0.65625	0.656397467666852
ZAP70	3.49266623570657	0.295710120783007	0.296643454845381
CD79A	0.36139781424547	0.277777777777778	0.27792707791936
GINS2	-0.2012987146437	0	6.49905152787511e-05
RAD51AP1	-0.803119614093936	0	6.24946299399021e-06
NDUFA12	0.638708115543979	1.11022302462516e-16	0.000420506066624915
ORC6	0.902039601015067	0.234404536862004	0.234678725547992
EMC7	0.491722528237338	0	0.00040822292836129
COL6A2	-0.549621081594705	0.444444444444444	0.444880781867559
PSME2	-0.310747118250705	0.0997229916897507	0.099921523842452
RPS10	1.51638937118447	0.301905886321471	0.302801759026344
IL2RG	0.765432449272708	0.2265625	0.226596563915948
MYH11	1.83404892196602	0.448979591836735	0.449401267842805
RPS27A	5.58425960849497	0.786007678058471	0.78728263748781
WAS	-0.0465887845629385	0.442330558858502	0.443513496276234
FASLG	0.198230710787405	0.719723183391003	0.719760917363344
LAX1	-0.244654138295388	0	2.46694523261537e-05
CDC6	0.801736117773361	0.34375	0.344039063252318
CCNB1	2.03437692591498	0.548442906574394	0.548569896225002
ECT2	-0.16899853223811	0.32	0.320008327831372
LY9	-0.408958905954598	0	0.000153142224740055
MCM7	1.30325353398189	0.68054977092878	0.680980506565735
COL6A1	-0.137405270398676	0.612244897959184	0.612359706522477
MCM5	1.20295005074018	0.371111111111111	0.371375617513451
NCAPG	0.0869656553478673	0.448979591836735	0.449146233635833
TYROBP	2.04124145231931	0.677685950413223	0.67870366782747
CD53	-0.755441030405786	0.375	0.375064660692638
CXCR4	0.563415131759089	0.670135275754422	0.671959672473579
DAPP1	-0.244654138295388	0	2.52369836958311e-05
CENPK	0.61709897896538	0	0.000330171713598615
MRPS22	0.0586596247157506	0.095	0.0951767084889491
RFC4	2.80780578260748	0.414201183431953	0.414854585342684
NDUFB10	0.960965392022986	0.060546875	0.0609762858415854
REG3A	1.15470053837925	0.444444444444444	0.445700269361513
NDUFS4	0.423869931224641	0	0.000370262911470909
GNGT2	4.26704852509305	0.122616699539776	0.124431551300152
CTLA4	0.36139781424547	0.291666666666667	0.291823112531648
EIF3H	0.204233610183367	0.157407407407407	0.157747014070561
CCT4	1.38914356474603	0.609418282548476	0.610440478854783
MRPS31	-0.762575121304757	0	0.000132332433466997
ATP5F1B	1.15470053837925	0.72	0.72045519855635
ACTR2	1.06845842554314	0.612654320987654	0.613267415131372
ORC1	0.801736117773361	0.578125	0.578440994709702
MKI67	-0.726923919075498	0.777777777777778	0.777805258550554
RPL37A	0.904050016050623	0.194380165289256	0.194860987478808
FCGR2A	-0.0426368207817688	0.493827160493827	0.493916895081801
CD300LF	-0.446671455809007	0	4.56396203685205e-06
ID4	-0.193124598705271	0	0.000173431043699157
PPIH	2.14306776883357	0.0407986111111112	0.0412673251353768
MAP4K1	0.563415131759089	0	0.000395356259123236
DTL	-0.2012987146437	0	0.000185420107177037
HIST1H2AC	-0.103012682573527	0.417777777777778	0.417791709888664
MAGT1	-0.270030862433661	0.32	0.320154530838418
SERPIND1	-1.23499396113245	0.5	0.500354208709168
ITGAM	-0.345662797052198	0.814814814814815	0.814826574600935
SLAMF7	-1.12463699137515	0	7.64980336371845e-05
CD79B	0.36139781424547	0	0.000190522940335836
THBS2	-0.476618946628256	0	2.12191793989014e-05
CR1	1.00900919099447	0.56	0.560291566855989
APLNR	0.132973887044676	0	0.000247242235064338
CHD4	-0.103012682573527	0.417777777777778	0.417809208264089
KIF14	-0.580871778846598	0	2.54493390738908e-06
MAD2L1	2.22324700640952	0.456859504132231	0.457700655527763
BRCA2	0.601129151289948	0.615933412604043	0.616081724027898
MRVI1	-0.827091048186383	0.5	0.500173087176351
TOPBP1	1.4035570172236	0.191326530612245	0.191711956945315
RPLP0	1.12274264288414	0.292544378698225	0.293112790080723
RPL13A	1.38517379508436	0.168962350780533	0.169777005328542
SPDL1	1.29337183262607	1.11022302462516e-16	0.000558067206362423
KIF20A	-0.413818027588454	0.444444444444444	0.444448821146537
TLR8	-0.601425472045537	0.444444444444444	0.444518712466684
RAD51	1.5038605004653	0.464506172839506	0.464750088623934
COX7B	0	0.244897959183674	0.24514826458495
NLRP3	-0.165418209637277	0.375	0.375050743371138
MRPL9	0.762575121304757	0	0.000417197108394385
CPB2	-0.488554464231068	0	8.62520318681836e-05
CD86	-0.345662797052198	0	1.37007572797998e-06
CENPF	0.278962552135035	0.41	0.410140448931538
ALYREF	1.70632990328219	0.319866722199084	0.320110719338805
RPL35	0.947788541417327	0.258546394714163	0.259032871053194
RPL36	0.816572965317216	0.253223140495868	0.253697170989096
RPL6	0.99152706678403	0.238437230680839	0.239003390402471
GTSE1	-0.904514941771173	0	6.11115932980244e-06
PSMA7	0.843240966515262	0.200146092037984	0.200729380848404
SLAMF1	-0.408958905954598	0.5	0.502031870897406
CCL19	0	0.625	0.625081090003238
IL7R	0.15938049673185	0	9.73736541519665e-05
FBLN2	2.74810540797352	0.578125	0.578417743337555
ASF1B	3.56121276765428	0.124444444444444	0.124993596327969
PLAUR	0.0845575034246079	0.56198347107438	0.564533848130928
SMARCC1	2.15678667359016	0.266117969821674	0.266694841581806
RPL24	1.03526559215073	0.278876170655567	0.279448397096646
CXCR6	0.0652021716668339	0	0.000199411115278325
CCT7	1.1152279322609	0.623456790123457	0.623980815798538
PECAM1	0.462406473002279	0.4609375	0.461140340628028
CARD16	0	0.666666666666667	0.667167388548521
UQCRC2	0.427948051618092	0.444444444444444	0.444584821642725
THRAP3	-0.16899853223811	0.32	0.320040426833747
PTGER4	-0.0703412590888503	0	0.000131202424171861
LTB	0.447213595499958	0	0.000197501634998876
CHMP2B	0.484672745731123	0.512396694214876	0.513059920732769
TPM2	2.42841662815871	0.732510288065844	0.732773203910312
GINS4	-0.2012987146437	0	6.49905152787511e-05
PSMD14	0.843240966515262	0.0570934256055363	0.0577598804812482
RPLP2	0.816572965317216	0.274872448979592	0.27533660782359
RPL15	0.947788541417327	0.350718065003779	0.351190389673993
MRPS28	0.645255871873256	0	0.000429827068702426
SEC61G	0.264820448851425	0.375	0.375100742124025
PJA2	1.28443694816988	0.104938271604938	0.105631988888697
PSMA4	0.997106044484057	0.145429362880886	0.146156397759522
RPS21	1.51638937118447	0.2086887522317	0.209495089678315
CKS2	-0.0465887845629385	0.277777777777778	0.277793380584372
PSMA6	1.07403858346846	0.18375	0.184395207242495
CCNA2	1.91196717823981	0.57439446366782	0.574521593320626
MRPL24	1.05587324488351	0	0.000515165806090123
HEYL	-0.291408279913282	0.693877551020408	0.693901255602861
NDUFA11	0.316450839064972	0	0.000276532968053411
GNB1	4.06373337895952	0.212145489504887	0.214035417806964
MCM8	1.00234308425677	0.158790170132325	0.159107178700771
EIF4B	-0.626798371783999	0.304498269896194	0.304556853789216
GNB4	5.35139597113852	0.102535083748302	0.105302415630916
C1S	-1.41421356237309	0.5	0.500119483129021
USO1	2.44975378796915	0.446162998215348	0.447016140070061
CIT	0.252552947324608	0.32	0.320034218004313
CD72	-0.143645479538578	0.277777777777778	0.277806746913359
GNG2	4.80922224811578	0.150826446280992	-Inf
RAD54L	-1.00372658057735	0	1.84025641170038e-06
FCER1G	0.730296743340221	0.5	0.502007360992454
CDH5	0.0758209631122334	0.611570247933884	0.611587845561768
COL8A1	-0.755441030405786	0.72	0.760153331356554
IPO7	-0.0465887845629385	0.617283950617284	0.617308487861896
REV1	-0.602512647610524	0.448979591836735	0.448983147505168
PSMF1	-1.23393758606348	0.661157024793388	0.661187264233722
MRPL51	0.234638498863002	0	0.000231365214193424
DHX9	2.76697900533554	0.387119113573407	0.387788997571212
LMNB1	-0.16899853223811	0.793388429752066	0.793393777390207
TACC3	-0.413818027588454	0.625	0.625001947694492
RBM22	1.64393877963199	0	0.000352497663508866
GINS3	-0.2012987146437	0	6.49905152787511e-05
SEMA4D	-0.345662797052198	0	3.64225188853595e-06
CALCOCO2	0.932689196838437	0.727810650887574	0.727825739977218
C8B	0	0.625	0.625120427957954
CKAP5	0.955235405795725	0.625708884688091	0.627879100035054
NDUFB4	0.638708115543979	1.11022302462516e-16	0.000420506066624915
KNTC1	1.46244004604124	1.11022302462516e-16	0.000696848733110156
PLK4	0.932689196838437	0.566893424036281	0.566919038798121
DEF6	-0.580871778846598	0.32	0.320711044165795
MRPL20	1.34917136846226	0.171717171717172	0.172024540863544
FEN1	0.500825668048242	0.36281179138322	0.363075838668182
STT3B	-0.270030862433661	0.32	0.320146601590314
RPL10A	0.947788541417327	0.167933884297521	0.168509628151564
CENPH	1.03976951250331	0.0768	0.0771636822516985
TPM4	2.72560048125506	0.603305785123967	0.603618244318962
EIF3D	0.204233610183367	0.197224251278305	0.197555017606326
NDUFB2	0.746127207703648	1.11022302462516e-16	0.000435331805802353
SERPINC1	-0.488554464231068	0.72	0.760035611230037
FGR	0.664423790515898	0.55328798185941	0.553364377169741
NCAPH	0.521793932087204	0	0.000349131832518612
PPP1R8	-0.0465887845629385	0.62	0.62001223229398
MRPL16	1.11453286959926	1.11022302462516e-16	0.000531999903316538
FBLN5	1.15470053837925	0	0.000363100461614141
RPL35A	0.947788541417327	0.244946492271106	0.245504046878367
IL18BP	-0.5	0	6.93536570398612e-05
EDNRB	0.675147610067413	0.169421487603306	0.169957718645588
SNRNP40	2.95415237628613	0.0322493953238377	0.0329454337971045
KNG1	0.944225454908122	0.56198347107438	0.56216413898289
PTPN1	0.565459953812921	0.444444444444444	0.444564443336484
KIF15	-0.5	0.666666666666667	0.666992413547083
MDH2	2.04124145231931	0.448979591836735	0.449154435096982
MRPL2	0.821234746020508	0	0.00040920806284217
PSTPIP1	-0.0426368207817688	0.493827160493827	0.493901816112827
CDT1	0.199915218323124	0.476454293628809	0.47656293786748
VCAN	0	0.8671875	0.867538602879719
MNDA	0	0.5	0.502391524554854
PRKG1	0.937353647309976	0.782222222222222	0.782498831545332
MRPL45	0.234638498863002	0	0.000322410176114007
MRPS23	0.410617373010254	0.0434567901234567	0.0438189591699967
RPL23A	1.03526559215073	0.342248520710059	0.342785553943794
PTPRCAP	-0.547680114565817	0	6.47957219324091e-07
CDC7	0.601129151289948	0.308390022675737	0.308586119185063
EIF3K	0.160495084816664	0.197530864197531	0.197796031310669
ID3	0.901248127291265	0.611570247933884	0.611793421718933
MELK	-0.291408279913282	0	5.76507313665431e-07
PCGF1	-0.602141671775103	0.375	0.375000742384854
VPS72	0.974357630521923	0.664819944598338	0.665047990169522
LOXL1	-0.577350269189626	0.5	0.500500744628041
BRCA1	4.72739137476877	0.713107638888889	0.713470858569627
CCL2	-0.476618946628256	0.775510204081633	0.775555557280057
IFIT3	1.5	0.375	0.375424673838583
E2F1	2.15678667359016	0.388888888888889	0.389015422701766
DOK2	-0.197796862850726	0.54	0.540527144361055
PIK3CG	0.36139781424547	0.642659279778393	0.642725327090049
PSMD7	0.766308427530864	0.16	0.160596877004824
POLR2G	1.83111215058258	0.258225739275302	0.258529490955932
LCP1	0.0758209631122334	0.40625	0.406252709798204
MYBL2	0.932689196838437	0.359861591695502	0.35990240759756
FCRL3	-0.547680114565817	0	9.063557293576e-07
ARPC2	0.967449766786327	0.476370510396975	0.476407015063192
RPS24	1.60386642191788	0.159095417575878	0.15999869551048
KCNA3	0.252552947324608	0.444444444444444	0.44464595812252
CENPW	-0.397310301525655	1.11022302462516e-16	4.97744386585008e-06
MCM2	1.00234308425677	0.570934256055363	0.571119095214916
RHOJ	-0.244654138295388	0.32	0.320002483333965
RPS4X	1.69134347265129	0.233766233766234	0.234718022141759
LILRB4	-0.446671455809007	0	4.56396203685205e-06
FMOD	-0.197796862850726	0	2.18678552167395e-05
NDUFAB1	0.53128902338431	1.11022302462516e-16	0.000385704571878032
FBXO5	0	0.5	0.501609083454522
DBF4	0.500825668048242	0.110726643598616	0.110935345722539
CTNNBL1	1.5191565323316	0.0512465373961218	0.0515622393773436
DYNC1LI2	0.198230710787405	0.21875	0.218764703553851
CHAF1B	1.22416688888116	0.627218934911243	0.62746906311446
PRPF38A	1.4567654086814	0.101108033240997	0.101346368964695
PPIL1	2.89176125263593	0	0.000822618653206764
TBXA2R	0.26851731780036	0.48	0.480200698607861
JUNB	1.22596457239413	0.378698224852071	0.379063973064235
PTGER2	-0.0025695437110082	0.165289256198347	0.165407908583291
HNRNPR	0.0217695647268673	0.444444444444444	0.444474914824265
PDE5A	-0.330434019555315	0	1.72501898261235e-05
IQGAP1	1.5447379352143	0.322314049586777	0.322552413530449
MIS18A	-0.650912621648414	0.444444444444444	0.444462074786686
CAB39	-0.0465887845629385	0.277777777777778	0.277793250619302
RPL26	0.685357389217106	0.335867768595041	0.336256791469873
GABARAPL2	1.5447379352143	0.464	0.464021768192873
