ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity
S100A9	13	7	0.00913238676568575	0.0979528834263799	7	18	1907887022195197440	0.0909090909090909
C1QC	5	3	5.11704740924429e-05	0.357998754095682	8	6	59994109811310.3	0.333333333333333
RPL18	65	39	0.735080053713169	0.0445673934023196	7	1468	1.23608808793148e+22	0.696428571428571
MRPL13	58	29	0.00440275882452479	0.06032567685371	8	1164	1442027847176760576	0.693609022556391
MRPS15	63	29	0.00463449880839966	0.0557163710403879	8	1202	1527806105151161344	0.602855631940772
PSMB7	36	24	0.00763572685608072	0.0855972659885696	8	477	1334223304626771200	0.742857142857143
RPS3	91	39	0.825804954347121	0.0327564630448845	7	1830	1.56004909734772e+22	0.434456928838951
RPS5	75	39	0.76836262110329	0.0394349406433146	7	1598	1.35058463121472e+22	0.564235468345057
CXCR2	16	7	0.00093887225005894	0.0870934863283029	8	24	20279870931499020	0.0857142857142857
RPL15	66	39	0.734693363210617	0.0436417197685687	7	1462	1.23474538556868e+22	0.671634615384615
UQCRC2	7	5	0.000164852817423231	0.421848380426742	9	17	634779891212812	0.733333333333333
MRPS22	44	28	0.00421142833915903	0.0557948622887992	7	514	814196084824724736	0.521594684385382
NDUFA12	28	22	0.000369678737958995	0.128589060356991	8	349	3131355171379255	0.917378917378917
RPL6	63	39	0.727451802105041	0.0464108414463744	7	1443	1.21057589692631e+22	0.73030142781597
NDUFS2	31	22	0.000452843306527829	0.114166494863424	8	359	4698409809523340	0.75632183908046
GNB1	89	14	0.00485607390803585	0.0352067249652399	8	603	540190864631910848	0.13453500522466
RPL31	68	39	0.731851699804742	0.0428915277026686	7	1463	1.22530309900885e+22	0.631388511985527
RPS10	85	39	0.827489929762313	0.0360796963729666	7	1844	1.56644260927737e+22	0.504876649454963
RPS16	91	39	0.852066369544423	0.0337777727233443	7	1923	1.66086653560358e+22	0.457677902621723
MRPL16	54	29	0.00417566165639122	0.0613470913505022	8	1048	1297580075505931008	0.722060957910015
BMS1	26	20	0.0380747946934323	0.0993597191095786	8	212	33163567348789940224	0.623333333333333
PSMB6	38	24	0.00870747153638352	0.0775825196843423	8	468	1735090921437897728	0.647147147147147
MRPS28	52	29	0.00403648265081623	0.0604266485305598	8	926	1152720568081545728	0.686274509803922
RPL8	62	39	0.699347218512226	0.0460281139622196	7	1341	1.11885746712257e+22	0.699453551912568
EIF3K	41	27	0.377801124120425	0.0556844697430366	7	554	3.26539199766134e+21	0.658974358974359
NDUFB2	28	22	0.000374330969602787	0.128601399340592	8	352	3210618663842546	0.925925925925926
MRPL49	49	29	0.00383367454597575	0.0610952708194237	8	822	1028720517586092672	0.686170212765957
RPS14	90	39	0.831868704591601	0.0328929242673333	7	1857	1.58306629567365e+22	0.451481103166496
REV1	14	10	0.0408402999688405	0.111211718935023	7	46	3.8143861755322e+19	0.423076923076923
