gene	cluster1	GeneID
1	ABHD16A	12	7920
2	ABI1	15	10006
3	ACAN	3	176
4	ACKR2	3	1238
5	ACTG2	8	72
6	ACTN2	8	88
7	ADAM12	15	8038
8	ADAM15	15	8751
9	ADAM17	15	6868
10	ADD2	9	119
11	ADGRB2	1	576
12	ADRB2	20	154
13	AES	3	166
14	AFAP1	6	60312
15	AGTR1	20	185
16	AHR	2	196
17	AKT2	2	208
18	ANAPC4	6	29945
19	ANXA11	2	311
20	ANXA5	19	308
21	APAF1	2	317
22	APBB1	3	322
23	APRT	12	353
24	AQR	13	9716
25	ARHGAP1	1	392
26	ARHGAP31	4	57514
27	ARHGAP32	4	9743
28	ARID3A	2	1820
29	ARL15	7	54622
30	ARNT2	2	9915
31	ASAP2	15	8853
32	ASB6	4	140459
33	ASB7	7	140460
34	ASIC3	9	9311
35	ATF6	10	22926
36	ATF7IP	15	55729
37	ATG16L1	4	55054
38	ATP2B4	4	493
39	AURKA	11	6790
40	AURKB	11	9212
41	B4GALT3	7	8703
42	BAG1	1	573
43	BANF1	12	8815
44	BAP1	14	8314
45	BBS1	7	582
46	BCAR3	10	8412
47	BCL11B	4	64919
48	BCL6	2	604
49	BCOR	2	54880
50	BET1L	4	51272
51	BEX3	10	27018
52	BID	2	637
53	BIN1	15	274
54	BLK	5	640
55	BMP2	19	650
56	BMS1	12	9790
57	BRCA1	14	672
58	BRCA2	14	675
59	BRIP1	14	83990
60	BTAF1	13	9044
61	BUB1	11	699
62	BYSL	12	705
63	C1D	12	10438
64	C8B	3	732
65	CABLES1	14	91768
66	CACNA1A	2	773
67	CAD	2	790
68	CAMK2A	8	815
69	CAPNS1	10	826
70	CAPZA1	12	829
71	CASP14	2	23581
72	CASP8	2	841
73	CBFA2T2	10	9139
74	CBLL1	6	79872
75	CCDC90B	9	60492
76	CCL13	3	6357
77	CCL2	3	6347
78	CCL5	3	6352
79	CCL7	3	6354
80	CCNA1	14	8900
81	CCNA2	14	890
82	CCNE1	14	898
83	CD1D	19	912
84	CD2	5	914
85	CD22	4	933
86	CD244	5	51744
87	CD247	5	919
88	CD3EAP	13	10849
89	CD3G	5	917
90	CD48	5	962
91	CD5	5	921
92	CD53	5	963
93	CD6	5	923
94	CD72	5	971
95	CD74	19	972
96	CD79B	5	974
97	CD80	4	941
98	CD86	4	942
99	CD8A	5	925
100	CD8B	5	926
101	CDC25A	14	993
102	CDC25C	14	995
103	CDC26	6	246184
104	CDC34	7	997
105	CDC37	2	11140
106	CDC42EP1	9	11135
107	CDC42EP4	4	23580
108	CDC6	14	990
109	CDC7	14	8317
110	CDCA5	11	113130
111	CDCA8	11	55143
112	CDH1	6	999
113	CDK14	4	5218
114	CDK17	4	5128
115	CDK19	1	23097
116	CDK5RAP3	3	80279
117	CDKN3	14	1033
118	CELF3	6	11189
119	CENPH	11	64946
120	CENPI	11	2491
121	CENPK	11	64105
122	CENPM	11	79019
123	CENPN	11	55839
124	CENPP	11	401541
125	CENPT	11	80152
126	CENPW	11	387103
127	CEP152	9	22995
128	CEP72	9	55722
129	CEP76	9	79959
130	CEP89	9	84902
131	CHAF1B	18	8208
132	CHEK1	14	1111
133	CHMP1A	10	5119
134	CHMP7	12	91782
135	CHN1	4	1123
136	CHRD	19	8646
137	CHRM4	2	1132
138	CLIC4	12	25932
139	CLSPN	14	63967
140	CLTB	15	1212
141	CLU	3	1191
142	CNKSR1	4	10256
143	CNR1	20	1268
144	CNTN2	2	6900
145	COG4	16	25839
146	COG5	16	10466
147	COG8	16	84342
148	COL2A1	19	1280
149	COL5A1	19	1289
150	COMMD2	2	51122
151	COPS4	13	51138
152	COTL1	12	23406
153	CPLX1	16	10815
154	CRCP	13	27297
155	CREBZF	10	58487
156	CRHR1	20	1394
157	CRTC2	2	200186
158	CRX	12	1406
159	CRY1	2	1407
160	CRYZ	12	1429
161	CSE1L	6	1434
162	CSF3R	4	1441
163	CSPG4	9	1464
164	CTDSP1	10	58190
165	CTGF	3	1490
166	CTLA4	4	1493
167	CUL2	7	8453
168	CUL4A	13	8451
169	CUL4B	13	8450
170	CUTA	12	51596
171	CUX1	14	1523
172	CWC27	13	10283
173	CXCL9	3	4283
174	CXCR2	9	3579
175	CYCS	4	54205
176	DACH1	10	1602
177	DAPK1	2	1612
178	DARS	2	1615
179	DAXX	2	1616
180	DBF4	14	10926
181	DCAF4	13	26094
182	DCLRE1B	14	64858
183	DCLRE1C	14	64421
184	DDOST	3	1650
185	DDX17	9	10521
186	DDX20	5	11218
187	DDX3X	1	1654
188	DDX56	12	54606
189	DEK	2	7913
190	DERL1	7	79139
191	DERL2	7	51009
192	DES	8	1674
193	DET1	7	55070
194	DGKD	12	8527
195	DHX37	12	57647
196	DIMT1	1	27292
197	DLGAP2	1	9228
198	DMC1	14	11144
199	DNAAF5	5	54919
200	DNAH2	5	146754
201	DNAJB9	11	4189
202	DNAJC6	15	9829
203	DNMT3A	18	1788
204	DNMT3L	18	29947
205	DOCK1	15	1793
206	DOCK3	15	1795
207	DPEP1	15	1800
208	DPP4	3	1803
209	DRG1	10	4733
210	DSCC1	13	79075
211	DSN1	11	79980
212	DTL	13	51514
213	DUSP3	12	1845
214	DYNC1I1	5	1780
215	DYNLT3	5	6990
216	E2F1	14	1869
217	E2F2	2	1870
218	ECH1	12	1891
219	ECM1	3	1893
220	EDA	3	1896
221	EDF1	2	8721
222	EEF1A2	2	1917
223	EFNA4	5	1945
224	EFNA5	5	1946
225	EHMT1	2	79813
226	EIF1AX	12	1964
227	EIF2AK1	4	27102
228	EIF2AK3	2	9451
229	EIF4E2	12	9470
230	EIF4G1	12	1981
231	EIF5B	12	9669
232	ELAVL2	13	1993
233	ELF4	10	2000
234	ELN	3	2006
235	EPAS1	7	2034
236	EPB41L1	1	2036
237	EPHA10	5	284656
238	EPHA6	5	285220
239	EPHA8	5	2046
240	EPN2	15	22905
241	EPOR	4	2057
242	EPS8	15	2059
243	ERBB2	2	2064
244	ERC1	16	23085
245	ERCC6	13	2074
246	ESR2	6	2100
247	ESRRG	1	2104
248	ETHE1	12	23474
249	EXOC1	6	55763
250	EXOC5	6	10640
251	EXOC8	6	149371
252	EXOSC4	12	54512
253	EXOSC7	12	23016
254	F12	3	2161
255	F13A1	15	2162
256	FADD	2	8772
257	FANCD2	14	2177
258	FANCE	14	2178
259	FBLN1	3	2192
260	FBN2	3	2201
261	FBXO3	4	26273
262	FBXO4	10	26272
263	FBXW11	7	23291
264	FBXW7	7	55294
265	FER	16	2241
266	FGA	15	2243
267	FGB	15	2244
268	FGF13	3	2258
269	FIP1L1	13	81608
270	FLNB	15	2317
271	FMR1	1	2332
272	FNBP1L	15	54874
273	FURIN	3	5045
274	FXR2	1	9513
275	GABRB2	20	2561
